ID	Mass	Radius	e	a	Torb	Incl	
Mer	0.0553	0.383	0.205	0.387	88.0	7.0	
Ven	0.815	0.949	0.007	0.723	224.7	3.4	
Ear	1.0	1.0	0.017	1.0	365.2	0.0	
Mar	0.107	0.2724	0.094	1.52	687.0	1.9	
Jup	317.8	11.21	0.049	5.2	4331	1.3	
1a	2.57	1.54	0.087	0.098	6.38	-74.34	
2a	1.82	1.19	0.031	2.829	596.76	-17.61	
2b	2.78	1.52	0.086	0.617	60.77	-48.54	
2c	2.99	1.53	0.900	2.917	624.87	68.98	
3a	1.16	1.02	0.029	1.665	329.87	-67.95	
3b	3.07	1.55	0.064	0.018	0.36	-45.77	
4a	2.11	1.12	0.024	0.116	5.50	44.04	
5a	1.68	1.19	0.543	0.332	41.53	11.70	
6a	0.38	0.74	0.343	1.540	392.01	-55.64	
6b	2.81	1.29	0.522	0.173	14.76	-37.58	
6c	2.85	1.43	0.022	2.524	822.28	-4.44	
7a	2.32	1.22	0.091	0.013	0.20	18.18	
8a	1.88	1.21	0.015	2.420	625.32	-43.85	
9a	0.75	0.92	0.023	2.459	640.48	71.10	
10a	3.06	1.47	0.230	0.017	0.43	-64.42	
11a	0.28	0.71	0.934	2.844	909.92	19.84	
11b	1.50	1.12	0.020	0.112	7.08	8.85	
11c	2.14	1.45	0.042	0.014	0.31	-41.94	
12a	1.34	1.13	0.837	2.631	791.88	20.43	
13a	0.93	0.98	0.050	2.897	1026.66	-16.49	
14a	1.35	1.08	0.694	1.537	386.82	-12.76	
15a	2.38	1.35	0.226	0.032	1.16	-51.99	
16a	0.55	0.84	0.268	1.452	355.21	9.12	
16b	2.71	1.27	0.677	1.526	382.86	-78.94	
16c	1.85	1.19	0.021	2.926	1016.46	-85.03	
16d	0.56	0.86	0.225	0.009	0.16	-8.21	
17a	0.89	0.95	0.013	2.934	782.91	73.51	
17b	2.82	1.35	0.011	1.278	225.07	-31.76	
18a	0.90	0.96	0.111	0.463	61.63	75.35	
19a	2.51	1.22	0.076	2.776	1001.67	59.82	
20a	1.97	1.20	0.042	2.602	909.40	-45.05	
20b	1.58	1.18	0.343	2.211	712.11	-9.30	
20c	2.37	1.53	0.435	2.802	1015.81	-48.24	
20d	0.43	0.79	0.753	2.379	794.65	8.68	
21a	2.64	1.56	0.393	0.101	7.00	58.27	
22a	1.77	1.20	0.352	2.881	1059.01	-4.99	
22b	2.87	1.38	0.109	0.014	0.35	84.64	
22c	0.95	0.99	0.997	0.032	1.25	13.29	
23a	3.08	1.68	0.018	1.894	564.65	-19.85	
24a	0.42	0.78	0.096	1.617	324.86	-70.81	
25a	2.82	1.49	0.015	0.034	1.33	85.51	
26a	1.50	1.14	0.170	2.680	927.60	-62.36	
27a	1.53	1.08	0.669	2.868	1027.08	-18.34	
28a	2.37	1.24	0.179	0.196	14.47	-42.01	
29a	2.66	1.47	0.029	0.294	34.26	-40.95	
30a	2.25	1.19	0.014	0.032	0.75	87.57	
31a	1.54	1.08	0.257	0.354	32.38	-84.25	
32a	0.53	0.83	0.371	0.388	32.11	17.88	
33a	3.08	1.93	0.092	0.018	0.43	16.91	
33b	1.78	1.22	0.049	0.046	1.71	80.14	
33c	1.40	1.12	0.018	0.443	51.42	-15.62	
34a	2.94	1.48	0.067	0.732	121.38	-38.69	
34b	2.42	1.42	0.557	2.908	961.53	46.51	
35a	2.44	1.38	0.839	2.467	651.83	32.56	
36a	1.87	1.20	0.226	0.706	128.84	43.19	
36b	2.83	1.75	0.014	0.022	0.71	-51.67	
36c	3.05	1.86	0.830	2.941	1095.79	-6.48	
37a	1.83	1.23	0.122	0.013	0.37	-14.30	
38a	1.51	1.13	0.502	2.838	922.51	-47.41	
39a	0.25	0.69	0.013	1.383	361.25	12.11	
40a	0.11	0.54	0.012	1.240	273.74	-47.69	
41a	1.23	1.10	0.433	0.011	0.23	-24.38	
41b	1.07	1.02	0.024	0.093	5.53	41.61	
41c	2.49	1.62	0.135	0.174	14.27	-69.85	
42a	1.82	1.17	0.032	0.141	13.77	-5.20	
42b	0.60	0.85	0.011	0.009	0.22	60.12	
42c	0.06	0.48	0.286	2.708	1157.10	68.50	
43a	0.66	0.89	0.032	2.107	376.65	11.58	
44a	0.60	0.86	0.124	2.818	1089.80	-84.37	
45a	0.85	0.99	0.331	0.010	0.21	80.70	
46a	0.29	0.73	0.371	1.814	581.28	82.56	
47a	0.04	0.41	0.039	2.654	1021.97	-43.55	
48a	1.41	1.13	0.067	0.165	11.17	-38.65	
49a	1.95	1.18	0.274	0.694	142.37	5.46	
50a	1.26	1.10	0.097	0.015	0.44	63.82	
51a	1.41	1.13	0.486	0.150	14.35	-9.44	
52a	1.68	1.13	0.151	0.200	21.39	21.26	
53a	1.05	1.04	0.538	2.409	895.75	47.30	
53b	0.40	0.76	0.586	0.231	26.61	62.29	
53c	1.05	0.99	0.094	1.812	584.47	-69.95	
54a	2.57	1.70	0.139	1.061	226.38	53.33	
55a	1.41	1.06	0.824	2.912	1355.18	-19.58	
56a	0.63	0.86	0.068	2.371	874.44	-36.32	
57a	1.27	1.03	0.200	1.673	341.99	24.37	
57b	1.45	1.15	0.014	2.681	693.82	-72.91	
58a	2.78	1.63	0.034	0.187	14.11	11.14	
59a	1.72	1.15	0.027	0.027	1.48	-32.80	
59b	1.35	1.11	0.332	0.040	2.64	-76.85	
59c	0.95	0.98	0.054	0.667	177.45	41.62	
59d	0.28	0.67	0.714	0.134	15.91	82.54	
60a	2.31	1.52	0.091	0.027	0.95	-66.26	
61a	0.59	0.84	0.025	2.408	815.99	-35.35	
62a	0.30	0.73	0.050	0.600	85.06	-48.78	
63a	0.21	0.66	0.049	0.251	24.94	58.95	
64a	0.49	0.84	0.081	0.478	65.24	-13.33	
64b	2.79	1.44	0.012	0.066	3.36	53.83	
64c	2.37	1.32	0.038	2.955	1002.72	81.02	
64d	1.43	1.09	0.012	2.013	563.54	-65.91	
64e	2.94	1.67	0.073	0.062	3.08	-29.48	
65a	2.71	1.73	0.098	2.494	763.68	-24.04	
65b	2.00	1.23	0.250	0.012	0.26	75.82	
65c	1.09	1.04	0.074	1.695	427.95	12.71	
65d	0.35	0.72	0.169	1.785	462.49	-72.06	
