ID	Mass	[Fe/H]	Radius	Type	Teff	Tms	Nplan	
0	1.0	1.0	1.0	G	5700	10	5	
1	0.97	-0.07	0.99	G	5529	10.957	1
2	2.70	-0.35	1.53	None	15390	0.508	3
3	1.80	0.04	1.29	A	10260	1.715	2
4	2.20	-0.24	1.40	None	12540	0.939	1
5	0.90	0.43	0.96	G	5130	13.717	1
6	1.01	0.08	1.00	G	5757	9.706	3
7	2.30	-0.05	1.43	None	13109	0.822	1
8	1.54	-0.03	1.20	A	8778	2.738	1
9	1.54	-0.03	1.20	A	8778	2.738	1
10	1.22	0.12	1.09	F	6954	5.507	1
11	1.18	0.07	1.07	F	6726	6.086	3
12	1.23	-0.25	1.09	F	7033	5.322	1
13	0.98	-0.46	0.99	G	5586	10.625	1
14	1.03	0.00	1.01	G	5871	9.151	1
15	1.03	0.00	1.01	G	5871	9.151	1
16	1.03	0.00	1.01	G	5871	9.151	4
17	1.75	-0.03	1.27	A	9975	1.866	2
18	1.11	0.20	1.05	F	6327	7.312	1
19	0.91	0.31	0.96	G	5158	13.491	1
20	0.91	0.31	0.96	G	5158	13.491	4
21	0.91	0.31	0.96	G	5158	13.491	1
22	0.91	0.31	0.96	G	5158	13.491	3
23	0.91	0.31	0.96	G	5158	13.491	1
24	1.70	-0.13	1.26	A	9690	2.035	1
25	0.95	-0.01	0.98	G	5415	11.664	1
26	0.95	-0.01	0.98	G	5415	11.664	1
27	0.95	-0.01	0.98	G	5415	11.664	1
28	1.52	0.21	1.20	A	8664	2.848	1
29	0.92	-0.11	0.96	G	5244	12.842	1
30	2.49	0.00	1.48	None	14193	0.648	1
31	1.80	-0.03	1.29	A	10260	1.715	1
32	2.40	-0.06	1.46	None	13680	0.723	1
33	1.40	-0.03	1.16	F	7979	3.644	3
34	1.13	-0.27	1.05	F	6440	6.931	2
35	1.50	-0.09	1.19	A	8550	2.963	1
36	0.90	0.00	0.96	G	5130	13.717	3
37	0.74	-0.20	0.88	K	4218	24.678	1
38	1.14	-0.71	1.06	F	6497	6.750	1
39	0.86	0.10	0.94	G	4902	15.722	1
40	1.08	-0.22	1.03	F	6156	7.938	1
41	1.10	0.28	1.04	F	6270	7.513	3
42	0.63	0.30	0.82	K	3591	39.992	3
43	2.80	-1.00	1.55	None	15959	0.456	1
44	0.80	-0.46	0.91	K	4560	19.531	1
45	0.96	-0.15	0.98	G	5477	11.268	1
46	0.75	-0.11	0.88	K	4275	23.704	1
47	0.76	0.02	0.89	K	4332	22.780	1
48	1.52	-0.19	1.20	A	8664	2.848	1
49	0.70	-0.14	0.86	K	3989	29.155	1
50	0.70	-0.14	0.86	K	3989	29.155	1
51	0.70	-0.14	0.86	K	3989	29.155	1
52	0.74	-0.07	0.88	K	4218	24.678	1
53	0.74	-0.07	0.88	K	4218	24.678	3
54	0.99	0.50	1.00	G	5643	10.306	1
55	0.57	-0.48	0.79	K	3254	53.715	1
56	0.74	-0.03	0.88	K	4218	24.678	1
57	1.70	-0.29	1.26	A	9690	2.035	2
58	1.40	-0.27	1.16	F	7979	3.644	1
59	0.40	0.04	0.68	M	2280	156.250	4
60	0.95	0.06	0.98	G	5415	11.664	1
61	0.89	0.26	0.95	G	5073	14.185	1
62	1.27	0.04	1.11	F	7239	4.882	1
63	1.08	0.16	1.03	F	6144	7.983	1
64	1.09	0.01	1.04	F	6213	7.722	5
65	1.13	0.05	1.05	F	6440	6.931	4
66	1.10	0.19	1.04	F	6258	7.554	1
67	1.04	0.00	1.02	G	5928	8.890	2
68	0.95	-0.10	0.98	G	5415	11.664	3
69	1.21	-0.02	1.09	F	6897	5.645	5
70	0.97	-0.04	0.99	G	5529	10.957	1
71	1.14	0.14	1.06	F	6497	6.750	2
72	1.29	0.00	1.12	F	7353	4.658	2
73	1.10	0.17	1.04	F	6264	7.534	1
74	1.14	0.05	1.06	F	6497	6.750	2
75	0.91	0.30	0.96	G	5187	13.270	1
76	0.91	0.30	0.96	G	5187	13.270	1
77	1.09	-0.01	1.04	F	6213	7.722	1
78	1.09	0.01	1.04	F	6213	7.722	1
79	1.05	0.10	1.02	F	5985	8.638	2
80	1.01	0.15	1.00	G	5757	9.706	1
81	0.98	0.20	0.99	G	5563	10.756	1
82	1.41	0.14	1.16	A	8036	3.567	1
83	0.98	0.02	0.99	G	5586	10.625	1
84	1.25	0.00	1.10	F	7125	5.120	3
85	1.09	0.00	1.04	F	6213	7.722	1
86	0.86	0.44	0.94	G	4902	15.722	1
87	1.10	0.05	1.04	F	6270	7.513	1
88	1.00	-0.25	1.00	G	5700	10.000	1
89	1.05	-0.20	1.02	F	6013	8.516	3
90	0.93	0.03	0.97	G	5301	12.432	1
91	0.93	0.03	0.97	G	5301	12.432	3
92	0.88	0.30	0.95	G	5016	14.674	1
93	0.99	-0.01	1.00	G	5643	10.306	2
94	0.65	0.09	0.83	K	3727	35.749	1
95	1.13	0.13	1.05	F	6440	6.931	1
96	0.51	-0.26	0.75	K	2918	74.506	1
97	0.60	0.03	0.80	K	3420	46.296	1
98	0.80	-0.03	0.91	K	4560	19.531	1
99	0.80	-0.03	0.91	K	4560	19.531	1
100	0.90	-0.03	0.96	G	5130	13.717	1
101	0.90	-0.03	0.96	G	5130	13.717	1
102	0.90	-0.03	0.96	G	5130	13.717	1
103	1.07	0.28	1.03	F	6099	8.163	1
104	1.07	0.28	1.03	F	6099	8.163	1
105	0.87	0.00	0.94	G	4959	15.186	3
106	0.87	0.00	0.94	G	4959	15.186	4
107	0.87	0.00	0.94	G	4959	15.186	2
108	0.89	-0.53	0.95	G	5073	14.185	1
109	0.53	-0.22	0.76	K	3032	66.415	1
110	1.07	-0.20	1.03	F	6121	8.072	1
111	0.83	0.41	0.92	G	4742	17.363	1
112	0.83	-0.22	0.92	G	4736	17.426	2
113	0.43	0.20	0.70	M	2451	125.775	1
114	0.36	-0.02	0.64	M	2040	217.947	1
115	0.64	0.37	0.83	K	3670	37.441	4
116	0.61	-0.02	0.81	K	3505	42.991	1
117	1.60	0.20	1.22	A	9120	2.441	1
118	0.58	0.18	0.79	K	3323	50.465	1
119	1.30	0.10	1.12	F	7410	4.552	2
120	0.99	0.03	1.00	G	5643	10.306	1
121	0.65	-0.11	0.83	K	3705	36.413	1
122	0.65	-0.11	0.83	K	3705	36.413	3
123	0.65	-0.11	0.83	K	3705	36.413	3
124	1.01	0.18	1.00	G	5739	9.793	3
125	0.59	0.11	0.80	K	3391	47.473	1
126	0.46	0.09	0.71	K	2604	104.773	1
127	0.44	-0.32	0.70	M	2508	117.393	4
128	0.93	-0.03	0.97	G	5301	12.432	1
129	0.93	-0.03	0.97	G	5301	12.432	1
130	1.00	0.12	1.00	G	5728	9.851	2
131	1.19	-0.11	1.08	F	6783	5.934	1
132	0.67	0.19	0.84	K	3830	32.953	3
133	0.67	0.19	0.84	K	3830	32.953	1
134	0.66	0.03	0.84	K	3773	34.469	1
135	0.64	-0.11	0.83	K	3648	38.147	3
136	0.64	-0.11	0.83	K	3648	38.147	2
137	0.29	0.15	0.59	M	1675	393.512	1
138	1.70	-0.09	1.26	A	9690	2.035	1
139	0.83	-0.13	0.92	G	4731	17.489	1
140	2.70	0.17	1.53	None	15390	0.508	1
141	1.70	0.12	1.26	A	9690	2.035	1
142	1.70	0.12	1.26	A	9690	2.035	1
143	1.23	-0.51	1.09	F	7011	5.374	1
144	1.40	0.18	1.16	F	7979	3.644	1
145	0.18	-0.12	0.48	M	1031	1686.414	1
146	0.15	0.39	0.44	M	855	2962.963	1
147	0.38	-0.32	0.66	M	2137	189.630	4
148	0.49	-0.10	0.74	K	2793	84.999	2
149	0.36	0.30	0.64	M	2034	219.784	1
150	0.29	0.09	0.59	M	1652	410.021	1
151	0.29	0.09	0.59	M	1652	410.021	2
152	0.90	0.10	0.96	G	5130	13.717	2
153	0.68	-0.30	0.85	K	3881	31.663	2
154	0.42	0.36	0.69	M	2394	134.975	4
155	0.42	0.36	0.69	M	2394	134.975	2
156	0.69	0.00	0.85	K	3932	30.441	1
157	0.42	0.02	0.69	M	2394	134.975	1
158	0.42	0.02	0.69	M	2394	134.975	1
159	0.42	0.02	0.69	M	2394	134.975	1
160	0.42	0.02	0.69	M	2394	134.975	3
161	0.16	-0.27	0.46	M	934	2267.088	1
162	0.47	-0.09	0.72	K	2679	96.318	1
163	0.54	0.20	0.77	K	3072	63.861	1
164	0.63	-0.04	0.82	K	3591	39.992	1
165	0.50	-0.16	0.74	K	2850	80.000	1
166	0.48	-0.22	0.73	K	2736	90.422	1
167	0.45	-0.32	0.71	K	2576	108.289	1
168	1.22	0.28	1.09	F	6954	5.507	4
169	0.52	-0.08	0.76	K	2964	71.120	1
170	0.80	0.06	0.91	G	4571	19.385	3
171	0.31	-0.14	0.61	M	1767	335.672	1
172	0.31	-0.14	0.61	M	1767	335.672	1
173	0.31	-0.14	0.61	M	1767	335.672	1
174	0.30	-0.38	0.60	M	1710	370.370	1
175	0.54	0.08	0.77	K	3078	63.507	1
176	0.54	0.08	0.77	K	3078	63.507	2
177	0.33	-0.55	0.62	M	1881	278.265	1
178	0.35	-0.28	0.64	M	1994	233.236	1
179	0.71	0.23	0.86	K	4047	27.940	2
180	0.71	0.23	0.86	K	4047	27.940	1
181	0.71	0.23	0.86	K	4047	27.940	1
182	0.71	0.23	0.86	K	4047	27.940	1
183	0.97	0.18	0.99	G	5529	10.957	3
184	0.78	0.08	0.90	K	4446	21.073	1
185	0.78	0.08	0.90	K	4446	21.073	3
186	0.45	-0.31	0.71	M	2565	109.739	1
187	0.49	0.22	0.74	K	2793	84.999	2
188	0.49	0.22	0.74	K	2793	84.999	1
189	0.80	-0.24	0.91	K	4560	19.531	1
190	0.33	0.05	0.63	M	1903	268.386	1
191	0.33	0.05	0.63	M	1903	268.386	1
192	0.33	0.05	0.63	M	1903	268.386	1
193	0.33	0.05	0.63	M	1903	268.386	1
194	0.66	-0.28	0.84	K	3756	34.942	1
195	1.15	0.13	1.06	F	6560	6.558	1
196	0.81	0.31	0.91	G	4617	18.817	1
197	0.73	-0.29	0.87	K	4161	25.706	4
198	1.22	0.43	1.09	F	6954	5.507	1
199	1.22	0.43	1.09	F	6954	5.507	1
200	1.39	0.11	1.15	F	7900	3.756	3
201	1.01	0.22	1.01	G	5774	9.620	4
202	1.22	0.17	1.09	F	6942	5.534	4
